clothing_style,top_clothing,bottom_clothing,hand_accessories,head_accessories,shoes,neck_accessories,glasses
Business Casual,Slim fit,Boot cut,Ring,Tie,Oxfords,Scarf,Wayfarer
Casual Wear,Short Sleeve V-Neck T-Shirt,Skinnie Jeans,Strap Watch,Cap,Sneakers,Basic Necklace,Oval Framed Glasses
Casual Wear,Round Neck T-Shirt,Straight Fit Jeans,Wrist Watch,Beanie Hat,White Sports Shoes,Silver Chain Necklace,Black Sunglasses
Casual Elegant,Striped Short Sleeve Henley Top,Gray Regular Straight Leg Jeans,Wristwatch,Hat,Black Boots,Black Scarf,Black Wayfarer Glasses
Sportswear,T-Shirt,Sweatpants,Cap,Baseball Cap,Sneakers,Scarf,Round Sunglasses
Casual Wear,Short Sleeve Polo T-Shirt,Slim Fit Jeans,Classic Watch,Cap,Sneakers,Neck Tie,Rectangular
Casual Wear,Casual Shirt,Jeans,Bracelet,Cap,Boots,Necklace,Round
Casual Wear,Plain Shirt with Short Sleeve,Straight Jeans,Pocket Square,Beanie,Sneakers,Skinny Tie,Round Frames
Casual Wear,Solid Color Jersey,Straight Fit Jeans,Rings,Baseball Cap,Sneakers,Necklaces,Black Glasses
Vintage and Retro Inspired,T-shirt,Bicycle Shorts,Bandanna,Baseball Cap,Sneakers,Necklace,Square Frames
Preppy Style,Casual,Tapered trousers with a 10.5-inch rise and a 30-inch inseam (Waist 34 / Length 30),Shirt cufflinks,Blazer,Sneakers,Semi-Open Collar Shirt,Classic Square Eyeglasses
Sportswear,Hoodie,Shorts,"Cap, T-shirt, and Shorts",Beanie,Sneakers,Necklace,Round glasses
Vintage and Retro Inspired,Vintage-Inspired,Vintage-Inspired,Vintage-inspired wristwatch,Vintage-inspired newsboy cap,High-top sneakers,Vintage-Inspired Necklace,Round-Framed Glasses
Business Casual,Solid-colored Dress Shirt (White),Stone Grey Dress Pants,Solid-colored Leather Watch (Black),Solid-colored Leather Tie (Black),Black Leather Lace-up (Dress),Solid-colored Leather Tie (Black),Oversized Black Frames
Casual Elegant,Solid Polo Shirt,Levi's Denim Jeans,Solid Colored Watch,Solid Colored Hat,Brown Leather Shoes,Solid Colored Necklace,Solid Colored Glasses
Business Casual,Solid/Striped Check Shirt Button Down,Solid Mid Wash Blue Jean Shorts,Watches - Black Dial,Hats - Black Cable Knit Beanie,Shoes - Black Suede Wingtip Derby Shoe,Neckwear - Black Polka Dot Necktie,Eyewear - Round Metal Frame Glasses
Casual Elegant,plain shirt,plain jeans,ring,cap,sneakers,necklace,sunglasses
Business Casual,Crew-Neck Sweatshirt,Straight Fit Jeans,Gray Leather Gloves,Dark Red Beanie,Black Sneakers,Brown Scarf,Black Aviator Sunglasses
Casual Elegant,Slim fit shirt,Dark jeans,Wrist watch,"Cap, Beanie",Sneakers,None,Sunglasses
Casual Wear,Sleeveless shirt,Slim-fit denim jeans,Sunglasses,Sports cap,Nike sneakers,Sports necklace,Aviator sunglasses
Casual Elegant,"Tees, Polo Shirt",Jeans,Rings,Hats,Boots,Scarfs,Sunglasses
Outdoor and Adventure Wear,long sleeve button front shirt,casual pant,gloves,"hat, beanie",hiking boots,neck warmer,sunglasses
Streetwear,Oversized jeans,Oversized jeans,Hooded jacket,Baseball cap,Sneakers,Necklace,Round glasses
Business Casual,Solid Pale Yellow Dress Shirt,Dark Grey Chinos,Watch and Ring,Rubber Band,Black Oxford Shoes,Black Bow Tie,Brown Aviator Sunglasses
Formal Wear,Notch Lapel Suit,Trousers/Pants,Black formal leather belt,Black Formal Bow Tie,Black Leather Oxfords,Solid black bow tie,Black Square Frame Glasses
Streetwear,Relaxed fit,Straight leg jeans,"Watch, Fingerless gloves",Baseball cap,Sneakers,None,Sunglasses
Streetwear,Basic T-Shirt,Track Pants,Round Necklace,Snapback,Sneakers,Chain,Hipster
Outdoor and Adventure Wear,Men's Adventure T-Shirt,Men's Adventure Pants,Men's Adventure Gloves,Men's Adventure Beanie,Men's Adventure Boots,Men's Adventure Scarf,Men's Adventure Sunglasses
Indian Traditional Wear,Embroidered Kurta,Churidar,Gold Ring,Safa,Chappal,Choker,Semi-rimless glasses
Indian Traditional Wear,Cotton Kurta,Sherwani,Gold Wrist Watch,Patta Turban,Mojari Footwear,Beaded Necklace,Round Glasses
Business Casual,Shirt,Chinos,Bracelets,Understated,Oxfords,Tie,Aviators
Sportswear,Long Sleeve T-Shirt,Slim Jeans,Simple Watch and Stud Earrings,Beanie,Sneakers,Simple Chain,Black Sunglasses
Business Casual,Black Slim Fit Chino Pants,Black Slim Fit Chino Pants,Black Slim Fit Chino Pants,Black Slim Fit Chino Pants,Black Slim Fit Chino Pants,Black Slim Fit Chino Pants,Black Slim Fit Chino Pants
Sportswear,Solid Polo Shirt,Solid Shorts,White Wristwatch and Solid Bracelet,Baseball Cap,Sneakers,Solid Necklace,Chrome Glasses
Casual Elegant,Long-Sleeved Urban Shirt,Casual Elegant Loose-Fit Jeans,Simple Black Watch or Black Leather Watch,Flat-Brim Fedora,Black Leather Lace-Up Shoes,Simple Black Necklace,Black Semi-Rimless Glasses
Sportswear,Sporty,Sporty,Sporty,Sporty,Sporty,Sporty,Sporty
Business Casual,Suit,Trousers,Gloves,Fedora,Oxford Shoes,Necktie,Frame Sunglasses
Casual Elegant,Regular Fit,Slim Fit,Watches,Hats,Sneakers,Chains,Sunglasses
Business Casual,Tailored Shirt with French Cuffs,Tailored Pants,Leather Belt,Blazer Lapel Pin,Lace-up Oxford Shoes,Silk Tie,Brown Glasses
Casual Wear,Solid Color Polo,Solid Color Jeans,Black Studded Bracelet,Black Studded Cap,Black Studded High Top Sneakers,Black Chain Necklace,Black Aviator Sunglasses
Indian Traditional Wear,Kurta Pajama with Pyjama,Pyjama with Kurta,Half Hand Jewellery,Turbans and Shawls,Chappals,Necklace,Wayfarers
Business Casual,Fitted Button-down Shirt,Dress Pants,Wrist Watch,Tie,Oxfords,Tie,Semi-Rimless
Casual Wear,T-Shirt,Skinny Jeans,Rings,Baseball Cap,Sneakers,Chain,Round
Sportswear,Regular Fit Shirt,Slim-fit Cargo Pants,Classic Watch,Solid Color Baseball Cap,Sports Shoes (99% confidence interval): Sports Shoes,Solid Color Necklace,Sports Glasses
Sportswear,Single Breasted Blazer,Chinos,Watch,Beanie,Sneakers,Solid Tie,Aviator
Casual Elegant,Shirt,Trousers,Watch,Cap,Casual shoes,Tie,Round
Casual Elegant,Shirt with a collar,Corduroy pants,Wrist watch,Sports cap,Sneakers,Necklace,Sunglasses
Streetwear,T-Shirt,Joggers,Watches,Baseball cap,Sneakers,Chains,Sunglasses
Preppy Style,Denim shirt,Slim fit chinos,Belt with Buckle,Hat,Khaki,Turtleneck Sweater,Round Metal
Business Casual,Solid Colored Polo Shirt,Solid Colored Chinos,Watches,Casual Hats,Casual Sneakers,Ties,Aviator Sunglasses
Business Casual,Button-down,Chinos,Wristwatch & Belt,Cardigan,Oxfords,Tie,Semi-rimless
Casual Elegant,Slim Fit Solid T-shirt,Pleated Trousers,Leather Watch,Sporty Cap,Sneakers,Necklace,Plastic Frames
Casual Elegant,Slim-Fit Sweatshirt,Slim-Fit Cargo Pants,Leather Wrist Watch,Leather Cap,Slim-Fit Sneakers,Leather Necklace,Aviator Glasses
Formal Wear,Tuxedo,Tuxedo Pants,"Cufflinks, Cigar Case",Tuxedo Hat,Oxfords,Bowtie,Rimless Glasses
Casual Wear,Casual Sweatshirt,Casual Jeans Pants,Casual Wristband,Casual Cap,Casual Sneakers,Casual Necklace,Sunglasses
Casual Elegant,Solid Button-Down Collar Shirt,Solid Chinos,"Metal Watch, Gold Ring, Black Belt, Gold Chain, Wrist Watch",Black Hat,Solid Brown Leather Shoes,Black Tie,Black Round Glasses
Casual Wear,Casual Shirt,Khaki Chinos,Leather Strap Wrist Watch,Casual Crewneck Pullover,Casual Leather Sneakers,Silver Chain Necklace,Slim Square Frame Glasses
Indian Traditional Wear,Suit Pant,Suit Pant,Bangle,Turban,Boots,No,Geeky
Casual Elegant,Fitted,Fitted,Minimalist,Simple,Minimalist,Simple,Simple
Casual Wear,Casual Shirt,Jeans,Casual Bracelet,Casual Hat,Casual Shoes,Necklace,Casual Glasses
Streetwear,Oversized Sweaters,Straight Leg Jeans,Boxy Sunglasses,Baseball Hat,High Top Sneakers,Bandana,Round Frames
Business Casual,Button Down Shirt,Dark Blue Jeans,Brown Wrist Watch,Dark Brown Fedora Hat,Brown Leather Derby Shoes,Black Bow Tie,Brown Aviator Sunglasses
Streetwear,Streetwear,Streetwear,Sports watch,Baseball cap,Nike sneakers,Chain,Sunglasses
Business Casual,Fitted Button-Down Shirt,Chinos,Cufflinks,Tie Clip,Monk Strap Shoes,Necktie,Horn-Rimmed Glasses
Vintage and Retro Inspired,Vintage,Cuffed slim straight denim,Rings,Hat,Boots,Necklace,Round
Casual Wear,Long Sleeve T-Shirt,Slim Fit Jeans,Ring,Baseball Cap,Sneakers,Necklace,Sunglasses
Business Casual,Long Sleeve Straight Hem Shirt,Mid Rise Straight Fit Jeans,Casual Leather Belt,Headwear,Business Casual Sneakers,Necklace,Round Metal Glasses
Casual Elegant,Regular fit,Jeans,Cotton Gloves,Beanie,Sneakers,Sweater,Sunglasses
Casual Elegant,Slim fit straight-leg jeans,Dark grey skinny jeans,None,None,Black leather casual shoes,None,Black square frames
Casual Elegant,Solid Tee,Solid Chino,"Solid watch, Solid ring, Solid bracelet",None,Solid Leather,None,Solid Glasses
Casual Elegant,White Long Sleeve Pocket T-Shirt,Black Slim Fit Jeans,Silver Watch,Black Beanie Cap,Black Sneakers,Black Necklace,Black Square Framed Glasses
Business Casual,Regular Fit,Regular Fit,Wrist Watch,Formal Cap,Oxford Shoes,Tie,Formal Glasses
Streetwear,Retro replica shirt,Bike shorts,Wristwatch,Baseball cap,Low top sneakers,Basic necklace,Sunglasses
Vintage and Retro Inspired,Checkered Shirt,Jeans,Leather bracelet,Trucker Hat,Boots,Necklace,Round Glasses
Business Casual,Jeans,Jeans,Watches,Hats,Boots,Ties,Round Eyeglasses
Vintage and Retro Inspired,T-shirt,High-rise jeans,"Wristwatch, bangle bracelet",Beanie Hat,Sneakers,Necklace,Round frames
Casual Elegant,Striped Button Down Shirt,Solid Blue Chinos,Handsome Bracelet,Dress Socks,Dark Brown Oxfords,French Cuff Blue Shirt,Classic Black Framed Glasses
Casual Wear,A T-shirt with a v-neck or crew neckline and short or long sleeves.,Skinny jeans,Gold hoops,A baseball cap,White sneakers,A gold chain,Black wayfarer sunglasses
Sportswear,Solid Color Tee Shirt,Skinny Jeans,Solid Color Bracelets,Baseball Cap,High Top Sneakers,Chain Necklace,Geeky Glasses
Formal Wear,formal shirt,formal trousers,Formal watch,Formal hat,Formal shoes,Formal Tie,Formal Glasses
Casual Elegant,Regular fit shirt,Regular fit trousers,Men's wristwatch,Men's hat,Men's Derby shoes,Men's necktie,Men's Round glasses
Vintage and Retro Inspired,Sleeveless Vest,Striped Slim Fit Jeans,Black Leather Earrings,Black Fedora Hat,Black Suede Oxford Shoes,Black Leather Necklace,Black Square Framed Glasses
Vintage and Retro Inspired,Long-Sleeve Fitted Henley Shirt,Tapered Chino Pants,Pocket Square,Flat Cap,Loafers,Bow Tie,Wayfarer Sunglasses
Casual Wear,T-Shirt,Jeans,Wrist Watch,Baseball Cap,Sneakers,Chain,Round Glasses
Vintage and Retro Inspired,Coat,Jeans,Leather gloves,Hat,Boots,Scarf,Tinted
Casual Wear,Slim fit denim jeans,Slim fit khaki cargo pants,Brown leather belt,Black leather cap,Blue canvas sneakers,None,Black full-rim glasses
Sportswear,Sports T-Shirt,Sports Shorts,Wristwatch,Baseball Cap,Trainers,None,Sunglasses
Sportswear,Fitted Pique Polo Shirt,Slim-Fit Casual Pants,Leather Watch,Ball Cap,Leather Sneakers,No Neck Accessories,Sunglasses
Business Casual,Shirt and Tie,Dress Pants,"Gold Watch, Sunglasses",Tie Clip,Loafers,Neck Tie,Black Frames
Streetwear,Basic T-shirt,Casual jeans,Classic watch,Casual Hat,Sneakers,Necklace,Round Eyeglasses
Streetwear,Waffle Stripe Ribbed Mock Neck,Skinny Fit Chino Pants,Snap Back Cap,Buckle Hat,Roshe Run Sneaker,Raglan Sleeve Sweatshirt,Sunglasses
Outdoor and Adventure Wear,Sporty Hoodie,Fleece Joggers,Sports Watch,Baseball Cap,Stealth Sneakers,Neck Warmer,Sports Sunglasses
Sportswear,Crew Neck T-shirt,Slim Fit Jeans,Wristwatch,Beanie,Sneakers,Necklace,Square Frames
Streetwear,Navy Blue T-Shirt,Black Jeans,Black Bracelets,Red Beanie,White High Top Sneakers,None,Black Rectangle Glasses
Business Casual,Shirt,Trouser,Watch,Watch,Oxford Shoes,None,Mid-sized glasses
Sportswear,Hooded sweatshirt,Athletic shorts,Bracelet,Hat,Trainers,None,Round
Business Casual,Cotton blend suit,Khaki chinos,Silver plated watch,Black dress shoes,Polished leather shoes,Black tie,Black square frame glasses
Casual Wear,A basic t-shirt,A pair of jeans,A leather watch and bracelet,A pair of sunglasses,A pair of sneakers,A leather necklace,Aviator sunglasses
Sportswear,Button-down collared shirt,Chino pants,Watches,Bowler hat,Oxford,Ties,Sunglasses
Business Casual,Printed Button Up Shirt,Navy Chinos,Black Leather Watch,Black Fedora Hat,Brown Chelsea Boots,Black Leather Tie,Black Aviator Sunglasses
Sportswear,Solid Polo Shirt,Skinny Jeans,Skull Ring,Baseball Cap,Training Shoes,Pendant,Round Frames
Casual Wear,Basic Shirt,Basic Jeans,Basic Watch,Basic Hat,Basic sneakers,Basic Necklace,Basic Glasses
Streetwear,T-Shirt,Straight Jeans,Golden Watch,Bowler Hat,Sneakers,Necklace,Glasses with Blue Frame
Streetwear,Baggy Hoodie,Track Pants,No Accessories,Baseball Cap,Sneakers,No Accessories,Round Eyeglasses
Sportswear,Short sleeve shirt,Shorts,Fingerless gloves,Beanie,Hi-top sneakers,Collar button-up,Sunglasses
Casual Wear,Absorbing knit jumper,Green corduroy chinos,Lined suede belt,Black leather cap,Red and white patterned leather sneakers,Black knit neck warmer,Round gold frame glasses
Indian Traditional Wear,Suit,Pant,Watch,Headband,Loafers,Necklace,Wayfarer Glasses
Business Casual,Two-tone Shirt,Dress Pants,Belt,Flat Cap,Oxford Shoes,Tie,Thin Frames
Streetwear,Hoodie,Cargo Pants,Smartwatch,Beanie,Basketball Shoes,Hoodie,Sunglasses
Sportswear,T-Shirt,Trousers,"Belt, Bracelet",Hat,Sneakers,Necklace,Sunglasses
Vintage and Retro Inspired,Wool Blazer,Chino Trousers,"Aviator Sunglasses, Wristwatch,",Fedora Hat,Derby Shoes,Skinny Scarf,Tortoise Shell Framed Glasses
Casual Wear,Sporty T-shirt,Track pants,Watch and Sunglasses,Sports cap,Sneakers,Necklace,Sports Sunglasses
Indian Traditional Wear,Cotton Kurta,Pyjama,Bracelet,Turban,Mojari,Necklace,Round
Indian Traditional Wear,Kurta,Pyjama,Kada,Turban,Jutti,Necklace,Horn Rimmed
Casual Wear,Solid T-Shirt,Solid Slim Jeans,Solid Chunky Bracelet,Flat Cap,Solid Sneakers,Solid Horn Necklace,Solid Black Glasses
Business Casual,Short sleeve button-down shirt,Dress pants,Simple ring,Tie,Oxfords,Simple necklace,Round frame glasses
Casual Elegant,Short sleeve shirt,501 Slim Fit Jeans,Plain flat leather belt,Black Round Brim Hat,Black leather casual shoes,Silver beaded necklace,Wayfarer
Vintage and Retro Inspired,Short sleeve T-shirt with Rolled Up Hem,Wide Leg Trousers,Black Bracelet,Bowler Hat,Lace Up Brogue Shoes,Scarf,Round Retro Style
Business Casual,A white and blue striped button down shirt with a pleated collar and short sleeves,Grey trousers with a straight cut and a zip fly,A grey watch and a blue pocket square,A red and blue gingham bow tie with a thin knot,Black leather derby shoes,A red bow tie,Round-Frame Glasses
Business Casual,Solid Polo Shirt with Collar,Solid Chino Pants with Belt Loops,Watch,Scarf,Business Casual Sneakers,Silk Thin Tie,Square Frames
Sportswear,Plain tshirt,Slim Fit Jeans,Plain Rings,Hat,Sneakers,Plain Necklace,Round Glasses
Business Casual,Shirt with a button-down collar,Trousers,Watch and Bracelet,Flat Cap or Fedora,Oxfords,Tie and Cufflinks,Semi-rimmed glasses
Vintage and Retro Inspired,Slim fit,Slim fit,Ring,Casual Twisted Fedora Hat,Suede Lace-Up Shoes,Skinny Scarf,Plastic Frames
Sportswear,Solid crew neck t-shirt,Solid straight-fit jeans,Sporty watch with contrasting color strap,Sports cap,Sporty canvas sneakers,Necklace with a sports pendant,Sporty sunglasses
Outdoor and Adventure Wear,Casual,Casual,None,None,Sneakers,None,Plastic Glasses
Business Casual,Relaxed Button-Down Shirt,Button Front Chinos,Polyester Watch,Solid Color Tie,Brown Leather Oxford Shoes,Solid Color Tie,Metal Frame Glasses
Casual Wear,Round Neck T-Shirt,Straight Jeans,Rings,Cap,Sneakers,Choker,Wayfarer
Sportswear,Long-sleeve,Sweatpants,Beanie,Cap,Lace-up casual shoes,Necklace,Sporty glasses
Preppy Style,Solid Polo Shirt,Solid Khaki Chinos,Leather Bracelet,Aviator Hat,Suede Derby Shoes,Necklace,Havana Sunglasses
Business Casual,Checked Shirt,Chinos,Brown leather belt,Black Hat,Brown Leather Shoes,Skinny Tie,Black Glasses
Casual Elegant,Tailored Shirt,Tailored Pants,Leather Gloves,Leather Hat,Leather Boots,Necktie,Round Glasses
Streetwear,Sweatshirt,Casual jeans,Leather bracelet,Leather cap,Sneakers,Bow tie,Sunglasses
Business Casual,Shirt,Pants,Wristwatch,Hat,Casual Shoes,Tie,Semi-rimless Glasses
Casual Wear,Denim Jacket,Black slim fit chinos,Skinny black watch,Modern Black Fedora Hat,Black Oxford Shoes,Black Leather Necklace,Black Wayfarer Glasses
Sportswear,Solid Color Sleeveless T-shirt,Black Cargo Shorts,Bold Watch,Fedora Hat,Sneakers,Thick Cable Necklace,Bold Eyeglasses
Casual Elegant,Regular fit shirt with collar and sleeves,Regular fit trousers with belt loops and side pockets,Watches,"Suitable head accessories for the given clothing style for men include hats, caps, and scarves.",Sneakers,"Suitable neck accessories for the given clothing style for men include ties, bow ties, neckerchiefs, and scarves.","Suitable glasses for the given clothing style for men include rimless, aviator, wayfarer, and round frames."
Business Casual,Solid Color Shirt,Solid Color Pants,No item,No item,Leather Shoes,No item,No item
Sportswear,Round Neck Tee,Jeans,Wrist Watch,Baseball Cap,Sports Shoes,Chain,Sunglasses
Casual Elegant,Long Sleeves - Polo Shirt,Shorts,"[('Watch', 0.97), ('Ring', 0.03)]","[('Cap', 0.95), ('Beanie', 0.05)]","[('Casual Shoes', 0.99), ('Sneakers', 0.01)]","[('Necklace', 0.56), ('Scarf', 0.44)]","[('Sunglasses', 0.74), ('Glasses', 0.26)]"
Business Casual,Button Down Shirt,Khakis,Watches,Hats,Loafers,Neck Ties,Sunglasses
Sportswear,Thick woven striped short sleeve t-shirt,Black leather straight leg jeans,Socks,Baseball cap,White leather casual shoes,None,Sunglasses
Casual Wear,T-Shirts,Jeans,Bracelets,Baseball Cap,Sneakers,Necklaces,Sunglasses
Casual Wear,Dress Shirt,Dress Pants,Dress Watch,Dress Tie,Oxford Shoes,Dress Necktie,Aviator
Casual Wear,White Button-Up Shirt,Blue Jeans,Brown Belt,Blue Cap,White Sneakers,Necklace,Black Sunglasses
Business Casual,Casual Shirt,Belt Loop Regular Jeans,Belts,Classic Bow Tie,Brown Belted Loafers,Classic Bow Tie,Round Frame Sunglasses
Casual Wear,Solid round neck t-shirt,Solid black jeans,Solid black leather belt,Black leather cap,Black and White Sneakers,Black leather chain,Black Wayfarer glasses
Streetwear,Vest,Slim fit ripped jeans,Leather bracelet,Baseball cap,Low top sneakers,Chain necklace,Black glasses
Casual Wear,T-Shirts,Slim-Fit Jeans,Metal Watch,Beanie with Pompom,Sneakers,Ribbed Necklace,Round Metal Frames
Casual Elegant,Asymmetric V-neckline,Straight cut jeans,Patterned wristwatch,Hat,Brown leather shoes,Necklace,Glasses with a square shape
Casual Wear,Men's polo shirt,Men's jeans,Men's leather watch,Men's casual hat,Men's formal shoes,Men's leather tie,Men's Fashionable Glasses
Business Casual,Striped Button-Up Shirt,Grey Pinstripe Slacks,Brown Suede Belt,Brown Dressy Fedora Hat,Brown Leather Oxfords,Brown Dressy Tie,Black Frame Glasses
Streetwear,Hooded sweatshirt,Sneakers,None,Beanie,Sneakers,None,Sporty sunglasses
Casual Elegant,Shirt,Pants,Ring,"Hat, Cap",Sneakers,Necklace,Sunglasses
Casual Wear,Casual Long Sleeve Button Shirt,Denim Jeans,"[{""accessory_type"":""Casual Shoes"",""accessory_name"":""Leather Boots"",""accessory_description"":""A classic pair of leather boots."",""accessory_url"":""https://images.fashionplus.in/images/accessories/Men-Casual-Shoes","[{""accessory_type"":""Hat"",""accessory_name"":""Baseball Cap"",""accessory_description"":""A casual baseball cap in a neutral color."",""accessory_url"":""https://images.fashionplus.in/images/accessories/Men-Hats",Casual Shoes,"[{""accessory_type"":""Neckless"",""accessory_name"":""Neckless"",""accessory_description"":""A simple neckless."",""accessory_url"":""https://images.fashionplus.in/images/accessories/Men-Neckless""}]","[{""accessory_type"":""Sunglasses"",""accessory_name"":""Aviator Sunglasses"",""accessory_description"":""Aviator sunglasses are a timeless style of sunglasses that are perfect for any occasion."",""accessory_url"":""https://images.fashion"
Casual Elegant,T-shirt,Jeans,"Wristwatch, Bracelet, Ring",Cap,Sneakers,Scarf,Geeky
Business Casual,Blue Short Sleeve Button-Down Shirt,Dark Blue Straight Leg Pants,Black Leather Belt,Black Dress Shoes,Black Professional Shoes,Black Tie,Black Rectangular Glasses
Casual Wear,Printed T-shirt,Bermuda Shorts,Bracelet,Baseball Cap,Sneakers,Necklace,Semi-rimless Glasses
Casual Elegant,Gingham Shirt,Striped Trousers,Brown Leather Belt with Silver Buckle,Grey Fedora,Brown Derby Shoes,Pink Leather Bow Tie,Round Glasses
Casual Elegant,Solid Full-Sleeve Shirt,Solid Office Pant,"Solid Gold Ring, Solid Gold Bracelet",Solid Black Tie,Solid Black Closed Toe Shoes,Solid Gold Necklace,Solid Black Frame Glasses
Streetwear,Oversize long sleeve shirt,Tapered jeans,Oversized watch and choker,Baseball cap,High top sneakers,Hoodie,Black wayfarers
Vintage and Retro Inspired,Vintage Fit T-Shirt,Retro Fit Jeans,Retro Watch,Vintage Fedora Hat,Vintage Sneakers,Vintage Necklace,Vintage Glasses
Business Casual,Shirt,Business Casual Pants,Necktie,Hat,Leather shoes,Necktie,Round
Vintage and Retro Inspired,A V-neck t-shirt with a retro-inspired design,Retro-inspired high-waisted jeans,vintage inspired gold bracelet,A vintage-inspired fedora or newsboy cap,Vintage-inspired leather shoes or sneakers,Vintage-inspired scarf or necklace,Vintage-inspired round glasses
Sportswear,Round Neck T-Shirt,Skinny Jeans,Black Round Glasses,Baseball Cap,White Superstar,Black Necklace,Black Glasses
Casual Wear,Round Neck T-Shirt,Straight Jeans,Watch,Beanie,Canvas Shoes,Scarf,Sunglasses
Sportswear,Shirt,Chinos,Watch,Cap,Mid-top trainers,Necklace,Aviator
Streetwear,Sweatshirt,Sweatpants,None,None,Sneakers,None,Hipster
Casual Wear,Sleeveless T-Shirt,Shorts,None,None,Sneakers,None,Aviator
Streetwear,Athletic,Sweatpants,Beanie,Hoody,Sneakers,Hoody,Round
Casual Elegant,Crew-Neck T-shirt with Pocket,Jogger Pants - Black,White Cap - Black Strap,Black Beanie,Sneakers - Black,Casual Necklace - Red,Black Glasses
Casual Wear,Printed shirt,Stretch jeans,Ring,Cap,Black sneakers,Scarf,Sunglasses
Casual Elegant,Casual T-shirt,Casual Jeans,Casual watch,Casual cap,Casual Sneakers,Casual necklace,Classic
Casual Elegant,Regular Fit T-Shirt,Elegant Regular Fit Jeans,Silver Necklace,Casual Cap,Elegant Casual Shoes,Silver Chain,Round Glasses
Vintage and Retro Inspired,Round Neck T-shirt,Cuffed Jeans,No Hand Accessories,No Head Accessories,Black-leather casual shoes,No Neck Accessories,No Glasses
Preppy Style,Tucked-in Polo Shirt,Chino Pants,Leather Bracelet,Hat,Lace-up Boat Shoes,Hoodie,Sunglasses
Casual Wear,Printed T-Shirt,Slim Fit Jeans,Ring,Baseball Cap,Sneakers,None,Black Aviator Glasses
Sportswear,Collared T-Shirt,Cargo Shorts,Loafers,Baseball Cap,Sneakers,Crew Neck,Aviator Sunglasses
Casual Wear,Long Sleeve,Chinos,Bracelet,Baseball cap,Sneakers,Necklace,Aviators
Outdoor and Adventure Wear,Sleeve Length: Full,"Fit: Loose, Leg opening: Relaxed, Inseam: 34"", Waistband: Elastic",Hiking Stick,Beanie,Lace-up Boots,Scarf,Casual
Casual Elegant,Solid Color Shirt,Solid Color Trouser,Wrist Watch,Headband,Oxford Shoes,Necklace,Round Glasses
Sportswear,T-shirt,Trousers,Wristband,Baseball cap,Sneakers,Scarf,Sunglasses
Casual Wear,Jeans with a t-shirt,Jeans,Bracelets,Hats,Trainers,Necklaces,Regular glasses
Business Casual,Cotton Button-Down Shirt,Black Jeans,Black Belt,Black Beanie,Black Boots,Black Turtleneck,Black Sunglasses
Casual Elegant,Loose-Fitting,Dress Pants,Wrist Watch,Cap,Lace Up Shoes,Necklace,Semi-Rimless
Business Casual,Casual White Shirt,Dark Navy Blue Jeans,Black leather belt,Black leather cap,Black leather shoes,White Polo Neck,Horn-rimmed Glasses
Vintage and Retro Inspired,Button-up shirt with a round neck,Regular fit chinos,No Suitable Hand Accessories,No Suitable Head Accessories,Classic Lace-up Shoes,No Suitable Neck Accessories,No Suitable Glasses
Sportswear,Short-Sleeve T-Shirt,Ankle-Cuff Straight-Leg Jeans,Leather Belt,Baseball Cap,Sneakers,Necklace,Sunglasses
Casual Wear,Slim-fit,Formal Trousers,Wrist Watch,Cap,Formal shoes,Necklace,Rectangle
Preppy Style,Polka Dot Shirt,Striped Pant,Brown Leather Belt,Black Fedora Hat,Brown Leather Shoes,Blue Denim Tie,Black Aviator Sunglasses
Casual Wear,Casual tops,Solid colored bottoms,Watches,Casual hats,Sneakers,Solid colored necklaces,Sporty glasses
Casual Elegant,Long Sleeve Shirt,Elegant Pants,Rubber Bracelet,Elastic Band Headband,Boots,Scarf,Semi-Rimless Glasses
Vintage and Retro Inspired,vintage inspired,Straight leg or slim fit denim jeans,Brown leather watch,Beanie,Lace up brown leather Chelsea boots,Necklace,Oversized brown glasses
Casual Wear,Polo T-shirt,Bermuda shorts,Wooden Bracelet,Cap,White Leather Shoes,Necklaces,Round Glasses
Casual Elegant,Collared shirt,Chinos,Leather Belt,Leather Shoes,Leather Shoes,Silk Tie,Classic Rectangle
Casual Wear,Round Neck,Tapered Fit,"Wooden Watch, Metal Bracelet",Baseball Cap,Sneakers,Thin Chain Necklace,Aviator
Casual Elegant,Long-Sleeve,Solid Black Pants,asymmetrical ring,soft fedora hat,Sneakers,Silver chain,Black Rectangular
Casual Elegant,Dress Shirt,slacks,Wrist Watch,Tie,Oxford Shoes,Tie,Brown
Casual Elegant,Slim-fit,Chinos with a straight leg,Black belt,Black fedora hat,Oxford shoes,None,Black rim glasses
Casual Elegant,Plain T-Shirt,Slim Fit Jeans,Ring,Cap,Sneakers,None,Wayfarer
Sportswear,Raglan Sleeve,Sporty Pants,Sports Watch,Baseball Hat,High-Top Sneakers,Athleisure Necklace,Sunglasses
Streetwear,Simple T-Shirt,Simple Trousers,White Watch,Simple Hat,Simple Shoes,Simple Necklace,Plastic Glasses
Casual Elegant,Long-Sleeve Shirt,Chinos,Watch,Cap,Sneakers,Necklace,Plastic Frame Glasses
Indian Traditional Wear,SLEEVELESS SHIRT WITH CHURIDAR PANT,CHURIDAR PANT,BANGLE,TURBAN,MOCCASIN,NIL,ROUND GLASSES
Casual Elegant,Short Sleeve Shirts,Trousers,Belt,Cap,Casual shoes,Scarf,Round
