body_type,additional_features,dress_type,sleeve_type,necklace,bracelet,earrings,dress_design,accessory_design
Apple-shaped,busted,t shirt,short length,rounded,stacks,drop earrings,Straight dress design,Simple and plain
Inverted triangle,optional,kurti,full length,rounded,bangles,studs,"Kurti with V-neckline, flared kurta with front slit and embroidery, kurti with front slit with lace trimming, kurti with front slit with lace trimming and embroidery, kurti with front slit with l","Rounded, bangles, studs"
Hourglass,busted,party wear,one shouldered,rounded,stacks,jhumka,Spaghetti strap dress,Semi-precious stone jewelry
Pear-shaped,optional,kurti,sleeveless,v shape,stacks,drop earrings,Straight cut,"Earrings: drop earrings, Necklace: v shape, Bracelet: stacks"
Pear-shaped,broad shoulders,t shirt,puffy shoulder,v shape,bangles,jhumka,Straight cut shirt with a v-neckline,Modern design
Hourglass,optional,kurti,short length,rounded,bangles,jhumka,"The dress design suitable for the given body type, dress type, and sleeve type is a kurti with short length sleeves, rounded neckline, and bangles, jhumka, and bangles as accessories.","The accessory design suitable for the given necklace, bracelet, and earrings is a combination of rounded necklace, bangles, and jhumka."
Apple-shaped,busted,party wear,puffy shoulder,v shape,bangles,drop earrings,"Asymmetrical sleeve, off shoulder",Satin bow
Hourglass,broad shoulders,party wear,full length,rounded,stacks,drop earrings,A dress with a deep v-neckline and a fitted waistline would look great on you.,A simple diamond necklace with a classic design and a pair of simple stud earrings would look great with your outfit.
Apple-shaped,broad shoulders,t shirt,mid length,choker,stacks,studs,"The dress design suitable for the given body type, dress type, and sleeve type is a mid-length sleeve t-shirt dress with a choker necklace, stacks of bracelets, and stud earrings.","The accessory design suitable for the given necklace, bracelet, and earrings is a choker necklace, stacked bracelets, and stud earrings."
Apple-shaped,busted,crop top,puffy shoulder,choker,stacks,drop earrings,Straight skirt,Balanced accessory design
Rectangle,optional,party wear,short length,choker,charms,drop earrings,sleeveless,"necklace: choker, bracelet: charms, earrings: drop earrings"
Apple-shaped,busted,kurti,puffy shoulder,choker,bangles,jhumka,round neck,Classic
Pear-shaped,optional,t shirt,sleeveless,choker,stacks,drop earrings,long cardigan,Bold accessories
Pear-shaped,busted,t shirt,full length,rounded,stacks,jhumka,Casual,Fun
Hourglass,busted,t shirt,full length,choker,bangles,drop earrings,Solid top with button detailing,"Long necklace, bangles, drop earrings"
Pear-shaped,optional,party wear,one shouldered,rounded,stacks,drop earrings,Fitted design,chic and casual
Hourglass,optional,t shirt,short length,choker,bangles,drop earrings,Wrap dress,Vintage style
Apple-shaped,busted,t shirt,sleeveless,rounded,bangles,jhumka,Pleated,Fashionable
Rectangle,busted,t shirt,short length,choker,charms,studs,Body hugging,Simple
Pear-shaped,optional,kurti,mid length,rounded,stacks,drop earrings,kurti with v-neckline,"rounded earrings, stacked bracelets, and drop earrings"
Pear-shaped,busted,t shirt,full length,rounded,stacks,drop earrings,"tight knit top with a round neck and a high neckline, a full-length sleeve, and a round neckline","gold hoops, gold bangles, gold rings"
Apple-shaped,busted,party wear,full length,v shape,stacks,jhumka,Elegant,"Hoop earrings, choker necklace, and stacked bracelets"
Rectangle,optional,party wear,sleeveless,v shape,stacks,jhumka,Bell sleeves,Bracelet: Tennis Bracelet
Pear-shaped,busted,party wear,short length,choker,stacks,drop earrings,"plain neckline, knee length, balloon sleeves, high waist, A-line","Plain neckline, knee length, balloon sleeves, high waist, A-line, bracelet: stacks, earrings: drop earrings"
Pear-shaped,busted,kurti,full length,rounded,bangles,studs,Bohemian,Bohemian
Pear-shaped,busted,t shirt,short length,v shape,bangles,studs,"Suitable dress design for pear shaped body type, t shirt dress, and short length sleeve would be a knee length straight cut black dress with white polka dots.","Suitable accessory design for v shape necklace, bangles, and studs would be a pair of wide pendants in black and gold color."
Hourglass,busted,crop top,sleeveless,v shape,bangles,studs,A-line,Modern
Apple-shaped,optional,party wear,mid length,v shape,stacks,studs,Fitted dress with mid-length sleeves and a V-neckline,golden bracelet with stud earrings and v shape necklace
Rectangle,broad shoulders,party wear,one shouldered,v shape,bangles,drop earrings,Sweetheart neckline with one shoulder,Classic
Pear-shaped,broad shoulders,kurti,puffy shoulder,choker,bangles,jhumka,"With its puffy shoulder sleeves and broad shoulders, this kurti perfectly complements the pear-shaped body type. Pair it with a choker necklace, bangles, and jhumka earrings to create a complete look.","The accessory design should be a minimalist approach with geometric shapes and bold lines. Consider incorporating a choker necklace, bangles, and jhumka earrings with a modern and sleek design."
Rectangle,busted,party wear,puffy shoulder,choker,stacks,studs,Printed floral dress,Choker necklace with stack bracelet and studs earring
Pear-shaped,broad shoulders,kurti,mid length,choker,charms,studs,"the dress design is a trendy and comfortable style that is suitable for all occasions, from casual outings to formal events.","The accessory design is a stylish and versatile combination that can be worn with a variety of outfits. The choker necklace adds a touch of sophistication and elegance, while the charms bracelet and stud earrings offer a playful and fun touch. This combination is perfect for a night"
Hourglass,busted,crop top,short length,v shape,bangles,jhumka,Bodycon Dress,"Polki Jhumka, Bangle and V Shape Necklace"
Apple-shaped,busted,kurti,puffy shoulder,rounded,bangles,jhumka,design 3,gold coin earrings and gold anklets
Hourglass,busted,kurti,puffy shoulder,choker,bangles,studs,This kurti is designed in such a way that it enhances your body type and provides a perfect fit. The puffy shoulder sleeve adds the right amount of volume and makes you look stylish. The choker necklace adds a touch of glamour to your outfit.,"The choker necklace, bangles bracelet, and stud earrings create a perfect balance with each other."
Pear-shaped,broad shoulders,party wear,sleeveless,rounded,bangles,jhumka,"High necked, belted","Earrings: jhumka, bracelet: bangles, necklace: rounded"
Rectangle,busted,kurti,one shouldered,rounded,bangles,jhumka,Semi-formal,Chic
Hourglass,optional,party wear,short length,choker,charms,drop earrings,A-line silhouette,Hoop earrings with pearl studs
Pear-shaped,optional,kurti,mid length,rounded,bangles,jhumka,Fitted Style,Modern
Hourglass,busted,crop top,short length,v shape,stacks,drop earrings,minimal,modern
Pear-shaped,busted,party wear,one shouldered,choker,bangles,drop earrings,Sweetheart neckline,Mismatched bracelets with bangles and drop earrings
Pear-shaped,optional,party wear,sleeveless,v shape,stacks,jhumka,Sweetheart neckline with a side slit,"Necklace - V shape, Bracelet - Stacks, Earrings - Jhumka"
Apple-shaped,busted,kurti,short length,choker,bangles,jhumka,V-neck kurti,"Simple choker, bangles, and jhumka"
Rectangle,busted,party wear,puffy shoulder,rounded,bangles,jhumka,Fitted,Leather
Hourglass,optional,kurti,short length,rounded,bangles,studs,Solid body with short length sleeves,Simple
Inverted triangle,optional,party wear,short length,rounded,bangles,studs,Bell sleeves,Pearls and diamonds
Rectangle,optional,t shirt,short length,choker,stacks,studs,Sleeveless,"Necklace: Choker, Bracelet: Stacks, Earrings: Studs"
Apple-shaped,busted,party wear,full length,v shape,bangles,studs,Straight dress design,A combination of minimalistic and fun accessories
Rectangle,optional,kurti,full length,choker,stacks,studs,Straight bottom kurti with full length sleeves,Rings and chokers
Pear-shaped,broad shoulders,t shirt,full length,v shape,stacks,jhumka,Floral print,Peacock
Pear-shaped,busted,t shirt,short length,v shape,charms,studs,Tshirt dress with short sleeve,simple
Hourglass,optional,crop top,short length,choker,stacks,studs,Bell sleeves,"reddish brown earrings, hoops, and choker"
Apple-shaped,broad shoulders,party wear,short length,v shape,charms,drop earrings,"Dress design with a v-neckline, a loose fit, and a short length",A delicate choker with drop earrings and a charm bracelet
Pear-shaped,broad shoulders,party wear,full length,choker,stacks,studs,Off-shoulder,delicate
Pear-shaped,optional,kurti,mid length,rounded,charms,drop earrings,Fitted,Small and elegant
Inverted triangle,optional,kurti,short length,choker,charms,studs,High neckline with a V-neck ending at the waist,Golden bracelet
Rectangle,broad shoulders,kurti,full length,choker,bangles,studs,Fitted,Fitted
Pear-shaped,busted,party wear,short length,choker,stacks,studs,Halter neck,Small choker with matching earrings and stacked bracelets
Hourglass,optional,t shirt,full length,rounded,stacks,drop earrings,slim fit knee length dress with ruffles,yellow floral patterns with gold accents
Apple-shaped,optional,party wear,short length,rounded,bangles,studs,Fitted top with a round neckline and short sleeves,"Earrings and bracelet are very simple, so you can use a necklace with a pendant"
Hourglass,broad shoulders,party wear,short length,choker,charms,drop earrings,This dress design is suitable for the hourglass body type and party wear dress type. The short sleeve length would add a touch of elegance to the overall look.,"This accessory design is suitable for the given necklace, bracelet, and earrings. Additionally, the choker necklace, charms bracelet, and drop earrings add an elegant touch to the overall look."
Pear-shaped,broad shoulders,party wear,sleeveless,choker,bangles,drop earrings,Body-hugging,Statement earrings with drop earrings
Rectangle,optional,party wear,full length,rounded,bangles,drop earrings,front slit,"necklace and bracelet are kept simple, and earrings are kept big"
Pear-shaped,optional,party wear,short length,choker,charms,studs,A-line dress,"Earrings: studs, bracelet: charms, necklace: choker"
Rectangle,optional,party wear,mid length,choker,stacks,studs,strapless dress,string
Pear-shaped,optional,t shirt,puffy shoulder,v shape,charms,drop earrings,Straight,v shape
Pear-shaped,optional,crop top,short length,rounded,bangles,jhumka,with plunging neckline,plain
Rectangle,optional,party wear,one shouldered,choker,stacks,studs,Sexy party gown,"Necklace: choker, bracelet: stacks, earrings: studs - The accessory design that goes well with this combination is a set of stud earrings, a choker necklace, and stacked bracelets."
Hourglass,busted,t shirt,full length,rounded,stacks,drop earrings,It is a good choice for the body type,"It is a good choice for the given necklace, bracelet, and earrings"
Pear-shaped,broad shoulders,crop top,sleeveless,rounded,charms,drop earrings,long sleeve top,a simple necklace
Apple-shaped,busted,kurti,short length,v shape,bangles,jhumka,Wear a long kurti with short sleeve and flared bottom,Assymetrical Necklace with matching earrings and bangle
Apple-shaped,optional,party wear,full length,choker,stacks,studs,Dress with long sleeves and a high neckline.,"Go for a classic look with choker, stacks, and studs"
Hourglass,busted,party wear,short length,choker,bangles,jhumka,Knee Length Fit & Flare Dress,Boho
Hourglass,busted,party wear,full length,choker,stacks,drop earrings,V-neck,simple and classy
Hourglass,optional,party wear,short length,rounded,charms,studs,Open dress,Dainty
Inverted triangle,optional,party wear,short length,choker,charms,drop earrings,spaghetti strap,jewellery
Apple-shaped,broad shoulders,party wear,short length,v shape,bangles,drop earrings,V-Neck,"Pearl necklace, red bracelet, and golden earrings"
Inverted triangle,optional,t shirt,mid length,v shape,stacks,studs,V-neck,ear studs
Pear-shaped,optional,kurti,full length,choker,charms,drop earrings,"This dress design will suit your body type, dress type and sleeve type",This combination of accessories will go well with the given dress
Hourglass,broad shoulders,kurti,mid length,rounded,bangles,studs,"Fitted on the bottom, flared on the top",Waist chain with matching bracelets
Rectangle,busted,kurti,short length,v shape,charms,jhumka,Suitable dress design is A-Line with v neckline,designs that complement each other
Hourglass,optional,party wear,full length,v shape,bangles,studs,Straight,"Accessory design for party wear with V shaped necklace, bangles, and studs"
Apple-shaped,optional,party wear,sleeveless,choker,charms,studs,casual,minimalist
Inverted triangle,optional,party wear,full length,v shape,stacks,jhumka,Asymmetric top with ruffles,"necklace, bracelet, and earrings, stacks"
Apple-shaped,optional,t shirt,sleeveless,v shape,stacks,drop earrings,plunge neckline,minimal
Hourglass,optional,party wear,full length,v shape,stacks,jhumka,"Suitable design for hourglass body, party wear dress, and full length sleeve is Anarkali","A combination of jhumka earrings, stacks bracelet, and v shape necklace is suitable for the given necklace, bracelet, and earrings"
Apple-shaped,optional,kurti,mid length,rounded,stacks,drop earrings,Straight,Bohemian
Apple-shaped,optional,kurti,mid length,v shape,stacks,jhumka,Straight,Boho
Inverted triangle,busted,party wear,mid length,choker,stacks,studs,Deep Neckline,Simple
Hourglass,busted,party wear,mid length,v shape,stacks,jhumka,Crop top gowns with off the shoulder sleeves,Delicate jewelry
Apple-shaped,busted,kurti,short length,v shape,bangles,studs,High-necked,Casual
Apple-shaped,busted,t shirt,puffy shoulder,v shape,stacks,studs,A straight dress design,"A bracelet with a gold chain and semi-precious stones, a necklace with a gold chain and a heart-shaped pendant, and earrings with small gold hoops"
Pear-shaped,busted,crop top,mid length,choker,bangles,studs,A chic and edgy crop top dress with a daring neckline and long sleeves.,minimalistic and edgy
Hourglass,broad shoulders,party wear,full length,v shape,stacks,jhumka,"Suitable dress design: Straight, Slim Fit, Body Con Fit","Suitable accessory design: Jewellery in combination of shades of gold, silver, and pearls of different shapes"
Rectangle,busted,t shirt,sleeveless,v shape,stacks,studs,"dress design: sheath, neckline: scoop, sleeve length: short, dress length: mini, dress type: t shirt",accessory design: simple
Apple-shaped,busted,kurti,mid length,choker,charms,jhumka,Fitted top with short sleeves,Solitaire Jewelry
Inverted triangle,optional,party wear,one shouldered,v shape,bangles,drop earrings,Straight dress design,Classy
Pear-shaped,busted,kurti,short length,choker,bangles,drop earrings,Straight cut tops,Straight cut tops
Rectangle,busted,crop top,sleeveless,choker,bangles,studs,"Suitable for rectangle body type, crop top dress type, and sleeveless sleeve type is Straight line dress design","Suitable for busted necklace, bangles bracelet, and studs earring is Mini bag"
Pear-shaped,optional,party wear,short length,rounded,stacks,jhumka,Fitted sleeveless dresses,"Golden pendant, bangles, chandbalis"
Rectangle,busted,kurti,puffy shoulder,v shape,stacks,studs,Straight Kurti with puffy shoulders,Pearl and silver
Apple-shaped,optional,party wear,puffy shoulder,choker,stacks,drop earrings,Round neck with shoulder pads and puffy shoulder sleeves,Drop earrings with choker and stacked bracelets
Apple-shaped,busted,kurti,sleeveless,choker,stacks,drop earrings,Sleeveless dresses are the best option,Choker necklaces work best with stacks bracelets and drop earrings.
Pear-shaped,broad shoulders,party wear,puffy shoulder,choker,stacks,studs,"Suitable for pear-shaped body type, party wear, and puffy shoulder sleeve type is a midi length, body-hugging, one-shoulder, A-line dress with a sweetheart neckline, ruffles, pleats, and a high slit.","Long drop earrings, thick chain with a pendant bracelet, and a choker necklace would look great with the dress"
Pear-shaped,busted,kurti,sleeveless,rounded,stacks,studs,flared,neutral
Hourglass,busted,kurti,short length,rounded,bangles,studs,Slightly flared dress,Casual
Pear-shaped,optional,party wear,short length,rounded,bangles,jhumka,Flared A-line,Designer earrings
Pear-shaped,optional,party wear,sleeveless,choker,stacks,drop earrings,Flowy & feminine,Modern and chic
Rectangle,busted,kurti,full length,rounded,stacks,studs,fitted dress with button up neck,two necklaces and one bracelet
Hourglass,optional,party wear,puffy shoulder,v shape,stacks,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a strapless gown with puffy shoulder sleeves. It should have a V-neckline and a form-fitting body that highlights the curves of the body. The dress should be made of a luxurious fabric such","The accessory design suitable for the given necklace, bracelet, and earrings is a pair of drop earrings, a v-shaped necklace, and stacked bracelets. The earrings should be made of gold or silver and have a small drop shape. The necklace should also be made of gold"
Hourglass,optional,party wear,puffy shoulder,rounded,stacks,studs,"Sexy, figure hugging dress","a simple necklace, stack bracelets and a pair of stud earrings"
Inverted triangle,optional,party wear,puffy shoulder,v shape,stacks,jhumka,Sleeveless dress with puffy shoulder,Pearl necklace with silver bracelet and gold jhumka earrings
Hourglass,optional,crop top,sleeveless,choker,charms,drop earrings,"casual, sleeveless, floral, belted, V-neck, mid-length, peplum, belted, striped, pleated, mid-length, belted, tiered, cuffs",casual
Apple-shaped,broad shoulders,party wear,puffy shoulder,v shape,stacks,drop earrings,flared body-con dress,Kinetic
Apple-shaped,broad shoulders,t shirt,short length,rounded,charms,drop earrings,the dress is full sleeve,cute
Apple-shaped,busted,t shirt,short length,v shape,charms,studs,"Fitted, straight",Trendy
Inverted triangle,busted,party wear,puffy shoulder,rounded,stacks,jhumka,sexy bodycon dress with puffy shoulder,Jewellery set
Pear-shaped,broad shoulders,party wear,one shouldered,choker,bangles,drop earrings,One shouldered dress,funky
Pear-shaped,broad shoulders,kurti,mid length,rounded,stacks,jhumka,Straight dress,jewellery with beads
Hourglass,optional,crop top,puffy shoulder,v shape,stacks,jhumka,Tie up sleeve crop top,Boho chic
Apple-shaped,broad shoulders,kurti,short length,rounded,stacks,drop earrings,"Designed with a round neck and full sleeves, this top is created for the apple-shaped body with broad shoulders. It looks best when paired with a pair of denim jeans and a pair of shoes.","A round necklace with a pendant in a rounded shape, a stacked bracelet, and drop earrings will enhance the beauty of this outfit."
Apple-shaped,busted,crop top,short length,rounded,stacks,drop earrings,Suitable for the body type and dress type,"Suitable for the given necklace, bracelet, and earrings"
Hourglass,optional,t shirt,short length,v shape,stacks,drop earrings,"The dress design should be a basic t-shirt with a short sleeve length, a v-shape neckline, and a scoop neckline. It should be made from a stretchy material like jersey or spandex, and it should have a loose fit in order to accommodate the hourglass body type.","The accessory design should be a simple gold chain necklace with a small pendant, a stack of bangles on one wrist, and drop earrings."
Apple-shaped,optional,party wear,short length,choker,stacks,jhumka,"The dress design suitable for the given body type, dress type, and sleeve type is a bell-shaped, party wear dress with short length sleeves, paired with a choker necklace, stacks bracelet, and jhumka earrings.","The accessory design suitable for the given necklace, bracelet, and earrings is a choker necklace with a single pendant, stacks bracelet with a bangle and a cuff, and jhumka earrings with a large dangling stone."
Hourglass,optional,party wear,full length,rounded,stacks,drop earrings,A-line,golden
Hourglass,busted,crop top,mid length,v shape,stacks,drop earrings,Sleeveless dress,Hoop earrings and simple bracelets
Hourglass,optional,party wear,short length,choker,stacks,studs,A-line off-shoulder dress,"Hoop earrings, bangles, and statement necklace"
Hourglass,optional,party wear,short length,rounded,stacks,jhumka,A-line design,"Earrings: Jhumka, Bracelet: Stacks, Necklace: Rounded"
Rectangle,optional,party wear,one shouldered,v shape,charms,jhumka,One shouldered dress with v neckline,"jhumka, charms, v shape"
Rectangle,optional,party wear,full length,v shape,bangles,studs,A-line dress design,Simple accessories
Hourglass,busted,t shirt,short length,v shape,bangles,studs,strappy,"Earrings: Studs, Necklace: V shape, Bracelet: Bangles"
Rectangle,busted,t shirt,short length,rounded,stacks,studs,Simple and casual,Simple and casual
Pear-shaped,optional,party wear,short length,v shape,charms,drop earrings,Laced bodycon dress,Anklets and belts
Hourglass,broad shoulders,t shirt,short length,rounded,charms,drop earrings,Feminine,Jewellery for every mood
Rectangle,optional,party wear,full length,rounded,bangles,drop earrings,Chiffon dress with short sleeve,Beautiful
Hourglass,optional,t shirt,one shouldered,rounded,stacks,jhumka,Squeezed mid-rise waist,Red and golden
Pear-shaped,broad shoulders,crop top,mid length,choker,charms,drop earrings,Pear-shaped body types should choose dresses that enhance their curves while balancing out their proportions. Mid-length sleeves are a versatile choice that provides coverage and can be dressed up or down. A crop top dress with a mid-length sleeve is a stylish and flattering option for this body,"A mid-length necklace with charms, chunky bracelets, and drop earrings create a layered and edgy look."
Rectangle,optional,kurti,short length,choker,bangles,jhumka,rounded neckline,"dangling earrings, bracelet: bangles, necklace: choker"
Rectangle,optional,crop top,mid length,rounded,stacks,drop earrings,Protective,grunge
Rectangle,optional,party wear,short length,rounded,stacks,jhumka,a-line,evening wear
Inverted triangle,busted,party wear,sleeveless,choker,stacks,studs,Straight cut,casual
Pear-shaped,busted,party wear,full length,v shape,stacks,jhumka,Straight dress with high neckline,A heavy diamond necklace with matching diamond earrings and a gold bracelet
Hourglass,optional,kurti,sleeveless,v shape,bangles,studs,"Suitable for Hourglass body type, kurti and sleeveless sleeve type dress design","Suitable for v shape necklace, bangles bracelet, and studs earrings"
Hourglass,broad shoulders,party wear,sleeveless,v shape,bangles,studs,High-low dress,Simple
Rectangle,broad shoulders,party wear,one shouldered,rounded,stacks,drop earrings,belted,minimalist
Hourglass,busted,party wear,full length,choker,bangles,studs,Bold Print,Casual Glam
Rectangle,busted,kurti,full length,choker,bangles,drop earrings,A-line,Modern and trendy
Apple-shaped,optional,party wear,short length,choker,stacks,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a strapless party dress with a fitted bodice and a full skirt. The dress can be accessorized with a choker necklace, stacks of bracelets, and drop earrings.","The accessory design suitable for the given necklace, bracelet, and earrings is a stack of bracelets and drop earrings. The choker necklace can also add a touch of elegance to the outfit."
Pear-shaped,broad shoulders,party wear,one shouldered,choker,charms,jhumka,"A bodycon dress with a deep V-neckline, high-low hemline, and thin straps",A statement necklace with a bold design and a pair of dangling earrings
Hourglass,busted,party wear,short length,rounded,stacks,studs,Shift dress with collar and short sleeves,Bright colored
Apple-shaped,busted,party wear,sleeveless,v shape,stacks,jhumka,Fitted,plain
Inverted triangle,optional,party wear,sleeveless,rounded,stacks,drop earrings,The dress design that would suit an inverted triangle body type for a party wear dress with sleeveless sleeve is a form-fitting or body-hugging dress with a draped neckline or an asymmetrical neckline.,"A small and delicate pendant necklace, a stack of thin and delicate bangles, and a pair of stud earrings"
Apple-shaped,optional,party wear,full length,rounded,stacks,jhumka,It is a simple halter-neck dress which is suitable for apple-shaped body type,"Earrings should be in shape of a pearl with a small stud on it, bracelets should be in shape of a bangle which should be golden in colour, necklace should be a choker with small pearls on it"
Apple-shaped,optional,t shirt,short length,rounded,stacks,jhumka,slim fit,simple
Apple-shaped,busted,party wear,one shouldered,v shape,bangles,drop earrings,sleeveless,"Pair of dangling earrings, white pearls drop earrings, and bangles"
Pear-shaped,busted,party wear,mid length,rounded,bangles,jhumka,flared,Light weight
Pear-shaped,optional,party wear,short length,choker,bangles,drop earrings,High neck dress,simple
Rectangle,optional,kurti,short length,rounded,stacks,drop earrings,Straight-line design,"Necklace: long necklace, Bracelet: jhumki, Earrings: stud"
Hourglass,optional,party wear,short length,choker,stacks,studs,A-line,Sleek
Apple-shaped,optional,party wear,mid length,v shape,stacks,drop earrings,dress with fitted bodice and flared skirt,jewellery with floral designs on them
Rectangle,optional,party wear,short length,v shape,bangles,studs,Sweetheart neckline,Golden earrings with studs
Rectangle,busted,kurti,short length,choker,stacks,studs,High neckline,Classic with a dash of color
Pear-shaped,optional,kurti,mid length,v shape,bangles,jhumka,"In a half-sleeve kurti, the focus should be on the neckline and the sleeves. A V-neck or a rounded neckline would look great on a pear-shaped body.",A pair of bangle bracelets and jhumka earrings would complement the V-neck kurti and v-shaped necklace perfectly.
Hourglass,optional,party wear,puffy shoulder,rounded,bangles,studs,"The dress design that will suit your body type, dress type, and sleeve type is a strapless, off-shoulder dress with a sweetheart neckline.","A pair of drop earrings and a bracelet with small, round stones."
Pear-shaped,busted,t shirt,full length,rounded,stacks,jhumka,A-line,Feminine
Apple-shaped,busted,party wear,short length,rounded,stacks,jhumka,It is a full-sleeved dress.,It is a diamond ring.
Pear-shaped,optional,kurti,mid length,v shape,stacks,drop earrings,Straight length kurti with bell sleeves,"Necklaces, bracelets, and earrings with a modern design would complement each other well."
Apple-shaped,broad shoulders,kurti,short length,choker,bangles,jhumka,Straight fit kurti,Geometric
Hourglass,broad shoulders,party wear,puffy shoulder,v shape,stacks,studs,Plunging neckline,"earrings: studs, necklace: v shape, bracelet: stacks"
Pear-shaped,broad shoulders,crop top,short length,choker,stacks,jhumka,Long-sleeved bodycon dress with side slit,"Bracelet: bangle, earrings: studs"
Apple-shaped,broad shoulders,party wear,sleeveless,v shape,stacks,jhumka,Off-shoulder,chunky and big danglers
Rectangle,optional,party wear,one shouldered,choker,stacks,drop earrings,Body con dress,Classic
Apple-shaped,optional,t shirt,short length,choker,charms,drop earrings,"Straight style, short length sleeves",Simple combination
Rectangle,optional,crop top,mid length,rounded,bangles,studs,"[('formal', 0.99), ('casual', 0.01)]","[('casual', 0.99), ('formal', 0.01)]"
Rectangle,busted,kurti,full length,v shape,bangles,studs,Fit and flare,Classic
Rectangle,optional,t shirt,short length,rounded,charms,drop earrings,Casual dress with a v-neckline and 3/4 length sleeves,Boho style
Inverted triangle,busted,t shirt,short length,choker,bangles,drop earrings,Straight fitted,Casual
Apple-shaped,busted,kurti,mid length,choker,stacks,drop earrings,"casual, chic",funky
Pear-shaped,busted,kurti,one shouldered,rounded,stacks,studs,Closed neckline,Leather accessories
Rectangle,busted,t shirt,puffy shoulder,v shape,stacks,jhumka,woven,simple
Hourglass,busted,party wear,one shouldered,choker,stacks,studs,Bodycon dress with an asymmetrical design,Gold bracelet and gold earrings with a couple of simple gold rings
Hourglass,optional,kurti,mid length,rounded,stacks,drop earrings,Solid High Neckline Dress,Elegant
Inverted triangle,busted,party wear,puffy shoulder,rounded,stacks,drop earrings,Off-shoulder,Yellow metal
Pear-shaped,optional,party wear,sleeveless,v shape,stacks,drop earrings,A-line midi dress,Sleek and minimalistic
Rectangle,optional,kurti,short length,choker,charms,studs,Suitable dress design: half-sleeved with frills,"Suitable accessory design: statement earrings, minimal necklace, and bangle"
Apple-shaped,optional,t shirt,mid length,rounded,stacks,studs,1/4 sleeve with a rounded neckline,Golden earrings and necklace with a bracelet
Inverted triangle,busted,crop top,short length,v shape,stacks,drop earrings,Simple and straight-fitting,drop earrings and stacks
Hourglass,busted,party wear,puffy shoulder,choker,bangles,drop earrings,Suitable dress design: V-Neck,Suitable accessory design: Floral
Rectangle,broad shoulders,party wear,puffy shoulder,v shape,bangles,drop earrings,flared design,casual
Pear-shaped,optional,kurti,full length,rounded,bangles,jhumka,Full-length sleeve dress with round neckline,"Simple necklace, bangles, and jhumka"
Rectangle,optional,kurti,sleeveless,choker,stacks,jhumka,Flared sleeveless kurti,"Small choker with large pendant, stacked bracelets, jhumka earrings"
Hourglass,optional,party wear,short length,v shape,stacks,jhumka,Sequined dress,Semi classic
Pear-shaped,busted,t shirt,mid length,rounded,stacks,drop earrings,off-shoulder,minimal
Pear-shaped,optional,party wear,sleeveless,rounded,stacks,jhumka,Tea-length dresses with ruffles or floral prints,Bold and statement making
Pear-shaped,optional,t shirt,full length,rounded,bangles,jhumka,Suitable dress design is straight,Suitable accessory design is shimmery
Hourglass,optional,party wear,sleeveless,rounded,stacks,drop earrings,straight,plain
Rectangle,optional,crop top,sleeveless,choker,stacks,drop earrings,bodycon mini dress,Glam-rock
Hourglass,busted,party wear,puffy shoulder,choker,stacks,jhumka,"full length, knee length, short dress",boho chic
Rectangle,busted,t shirt,short length,v shape,stacks,drop earrings,Square neckline,V shaped necklace paired with stacked bracelets and drop earrings
Apple-shaped,broad shoulders,t shirt,mid length,rounded,charms,jhumka,Straight,Pick a simple piece of jewelry
Hourglass,busted,crop top,short length,rounded,stacks,drop earrings,long sleeve bodycon dress,rounded stacks drop earrings
Rectangle,busted,party wear,short length,choker,bangles,jhumka,"With a rectangle body type, a partywear dress with short length sleeves is the most suitable choice. For this dress, you should go for a choker necklace, bangles, and jhumka earrings.","The perfect accessory design for the given necklace, bracelet, and earrings would be a combination of long earrings, a pendant necklace, and a watch."
Pear-shaped,busted,crop top,sleeveless,choker,charms,studs,Classy,Casual
Apple-shaped,busted,party wear,sleeveless,rounded,stacks,studs,Puff sleeve dresses are a great option for apple-shaped bodies because they can help balance out the proportions of your body. They can also help create the illusion of a longer torso and slimmer waist.,Simple and elegant
Rectangle,optional,party wear,short length,choker,charms,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a halter neck dress with a short length sleeve and a party wear dress design. It is recommended to accessorize with a choker necklace, charms bracelet, and drop earrings.","The accessory design suitable for the given necklace, bracelet, and earrings is a choker necklace with jeweled embellishments, a charms bracelet with dangling charms, and drop earrings with gemstones."
Apple-shaped,optional,party wear,short length,rounded,stacks,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a long length dress with short length sleeves.","The accessory design suitable for the given necklace, bracelet, and earrings is a set of stacked bracelets and drop earrings."
Rectangle,busted,kurti,short length,choker,bangles,jhumka,Fit and flare dress design with short sleeves,"Pair of danglers, pair of bangles, and choker"
Apple-shaped,busted,crop top,sleeveless,rounded,stacks,drop earrings,Loose,boho
Rectangle,busted,t shirt,mid length,choker,charms,drop earrings,Straight fit t-shirt with mid length sleeve,A single earring on each ear with a simple design and a matching necklace and bracelet
Apple-shaped,optional,party wear,full length,rounded,charms,studs,free flow,casual
Inverted triangle,optional,crop top,puffy shoulder,rounded,bangles,drop earrings,"crop top, v neck, puffy shoulder",casual
Rectangle,optional,party wear,puffy shoulder,v shape,stacks,drop earrings,sweetheart neckline with puffy shoulder,"pearl stud earrings, chunky chain bracelet and necklace"
